D/service_hrm_DATA( 3507): 1548824555.470,2112431.000000,0.454636,4.914857,8.867801,0.350000,-1.820000,-0.840000
D/service_hrm_DATA( 3507): 1548824555.510,2112834.000000,0.555135,5.024928,8.817552,0.350000,-4.410000,-0.140000
D/service_hrm_DATA( 3507): 1548824555.551,2112615.000000,0.614955,4.948357,8.764909,0.840000,-7.350000,1.540000
D/service_hrm_DATA( 3507): 1548824555.591,2112351.000000,0.770489,4.800002,8.712267,-1.050000,-9.030000,3.500000
D/service_hrm_DATA( 3507): 1548824555.632,2111964.000000,0.880559,4.713861,8.640482,-2.380000,-8.540000,6.370000
D/service_hrm_DATA( 3507): 1548824555.673,2111075.000000,0.861416,4.587041,8.729016,-3.780000,-8.470000,6.510000
D/service_hrm_DATA( 3507): 1548824555.711,2111075.000000,0.784846,4.534399,8.707481,-4.060000,-8.750000,6.160000
D/service_hrm_DATA( 3507): 1548824555.753,2110414.000000,0.971486,4.476971,8.578269,-4.970000,-10.780000,5.180000
D/service_hrm_DATA( 3507): 1548824555.793,2109992.000000,1.007378,4.601398,8.422735,-2.030000,-10.920000,4.410000
D/service_hrm_DATA( 3507): 1548824555.835,2109861.000000,1.210768,4.553542,8.374879,-3.080000,-9.380000,3.920000
D/service_hrm_DATA( 3507): 1548824555.872,2109562.000000,1.354338,4.558327,8.317451,-2.310000,-7.420000,4.760000
D/service_hrm_DATA( 3507): 1548824555.912,2109562.000000,1.225125,4.407579,8.549555,-0.700000,-5.740000,6.440000
D/service_hrm_DATA( 3507): 1548824555.953,2109013.000000,1.232304,4.206582,8.492127,-2.310000,-4.480000,4.340000
D/service_hrm_DATA( 3507): 1548824555.993,2108876.000000,1.387837,4.228118,8.528020,0.350000,-3.640000,0.700000
D/service_hrm_DATA( 3507): 1548824556.039,2109148.000000,1.600798,4.122833,8.432307,-1.470000,-3.290000,-1.750000
D/service_hrm_DATA( 3507): 1548824556.072,2108885.000000,1.509871,4.165904,8.669197,-1.680000,-3.780000,-2.870000
D/service_hrm_DATA( 3507): 1548824556.112,2108885.000000,1.483550,4.063013,8.784052,-3.640000,-5.110000,-4.200000
D/service_hrm_DATA( 3507): 1548824556.153,2109057.000000,1.282553,4.098906,8.712267,-4.270000,-6.230000,-6.020000
D/service_hrm_DATA( 3507): 1548824556.193,2109259.000000,1.347159,4.120440,8.683553,-6.860000,-6.020000,-7.910000
D/service_hrm_DATA( 3507): 1548824556.233,2109724.000000,1.426122,4.103691,8.760124,-5.740000,-5.600000,-8.890000
D/service_hrm_DATA( 3507): 1548824556.272,2109615.000000,1.335195,4.139583,8.779266,-6.930000,-6.370000,-10.710000
D/service_hrm_DATA( 3507): 1548824556.318,2109615.000000,1.304088,4.316652,8.846266,-5.740000,-8.050000,-12.390000
D/service_hrm_DATA( 3507): 1548824556.353,2109411.000000,1.241875,4.311867,8.855836,-5.600000,-9.170000,-13.790000
D/service_hrm_DATA( 3507): 1548824556.393,2109761.000000,1.361516,4.517649,8.853443,-5.250000,-8.120000,-14.420000
D/service_hrm_DATA( 3507): 1548824556.434,2109861.000000,1.344766,4.357330,8.817552,-6.300000,-8.680000,-13.650000
D/service_hrm_DATA( 3507): 1548824556.472,2109344.000000,1.344766,4.460221,8.956335,-1.890000,-10.150000,-13.930000
D/service_hrm_DATA( 3507): 1548824556.512,2109344.000000,1.435694,4.369294,8.906086,-3.290000,-9.940000,-14.210000
D/service_hrm_DATA( 3507): 1548824556.553,2108437.000000,1.598405,4.488935,8.575876,-0.700000,-8.610000,-13.650000
